source,target,weight,n_contacts,transmission
1098,1100,20,1,temporal_contact_aggregated
1098,1105,60,3,temporal_contact_aggregated
1098,1108,60,3,temporal_contact_aggregated
1098,1109,540,27,temporal_contact_aggregated
1098,1114,540,27,temporal_contact_aggregated
1098,1115,2000,100,temporal_contact_aggregated
1098,1116,20,1,temporal_contact_aggregated
1098,1130,120,6,temporal_contact_aggregated
1098,1142,20,1,temporal_contact_aggregated
1098,1144,1920,96,temporal_contact_aggregated
1098,1148,360,18,temporal_contact_aggregated
1098,1149,420,21,temporal_contact_aggregated
1098,1152,20,1,temporal_contact_aggregated
1098,1157,1380,69,temporal_contact_aggregated
1098,1159,460,23,temporal_contact_aggregated
1098,1164,3500,175,temporal_contact_aggregated
1098,1168,240,12,temporal_contact_aggregated
1098,1179,120,6,temporal_contact_aggregated
1098,1181,620,31,temporal_contact_aggregated
1098,1190,360,18,temporal_contact_aggregated
1098,1191,400,20,temporal_contact_aggregated
1098,1193,1720,86,temporal_contact_aggregated
1098,1196,140,7,temporal_contact_aggregated
1098,1202,80,4,temporal_contact_aggregated
1098,1205,440,22,temporal_contact_aggregated
1098,1207,1720,86,temporal_contact_aggregated
1098,1209,80,4,temporal_contact_aggregated
1098,1210,1820,91,temporal_contact_aggregated
1098,1221,220,11,temporal_contact_aggregated
1098,1232,320,16,temporal_contact_aggregated
1098,1245,1260,63,temporal_contact_aggregated
1098,1260,100,5,temporal_contact_aggregated
1098,1261,40,2,temporal_contact_aggregated
1098,1295,680,34,temporal_contact_aggregated
1098,1320,100,5,temporal_contact_aggregated
1098,1327,120,6,temporal_contact_aggregated
1098,1332,60,3,temporal_contact_aggregated
1098,1352,100,5,temporal_contact_aggregated
1098,1362,40,2,temporal_contact_aggregated
1098,1365,180,9,temporal_contact_aggregated
1098,1373,40,2,temporal_contact_aggregated
1098,1374,160,8,temporal_contact_aggregated
1098,1377,160,8,temporal_contact_aggregated
1098,1378,180,9,temporal_contact_aggregated
1098,1383,40,2,temporal_contact_aggregated
1098,1391,340,17,temporal_contact_aggregated
1098,1393,180,9,temporal_contact_aggregated
1098,1395,20,1,temporal_contact_aggregated
1098,1401,20,1,temporal_contact_aggregated
1098,1416,60,3,temporal_contact_aggregated
1098,1460,20,1,temporal_contact_aggregated
1098,1525,20,1,temporal_contact_aggregated
1098,1547,20,1,temporal_contact_aggregated
1098,1625,340,17,temporal_contact_aggregated
1098,1629,260,13,temporal_contact_aggregated
1098,1658,280,14,temporal_contact_aggregated
1098,1660,160,8,temporal_contact_aggregated
1098,1671,4340,217,temporal_contact_aggregated
1098,1701,400,20,temporal_contact_aggregated
1098,1702,120,6,temporal_contact_aggregated
1098,1769,40,2,temporal_contact_aggregated
1100,1108,2680,134,temporal_contact_aggregated
1100,1109,40,2,temporal_contact_aggregated
1100,1114,20,1,temporal_contact_aggregated
1100,1115,40,2,temporal_contact_aggregated
1100,1144,100,5,temporal_contact_aggregated
1100,1157,140,7,temporal_contact_aggregated
1100,1159,200,10,temporal_contact_aggregated
1100,1164,140,7,temporal_contact_aggregated
1100,1191,80,4,temporal_contact_aggregated
1100,1193,280,14,temporal_contact_aggregated
1100,1205,20,1,temporal_contact_aggregated
1100,1207,120,6,temporal_contact_aggregated
1100,1210,160,8,temporal_contact_aggregated
1100,1245,40,2,temporal_contact_aggregated
1100,1295,120,6,temporal_contact_aggregated
1100,1327,60,3,temporal_contact_aggregated
1100,1352,20,1,temporal_contact_aggregated
1100,1362,60,3,temporal_contact_aggregated
1100,1365,20,1,temporal_contact_aggregated
1100,1373,20,1,temporal_contact_aggregated
1100,1383,420,21,temporal_contact_aggregated
1100,1385,20,1,temporal_contact_aggregated
1100,1391,160,8,temporal_contact_aggregated
1100,1395,320,16,temporal_contact_aggregated
1100,1625,40,2,temporal_contact_aggregated
1100,1658,200,10,temporal_contact_aggregated
1100,1702,220,11,temporal_contact_aggregated
1105,1109,160,8,temporal_contact_aggregated
1105,1114,180,9,temporal_contact_aggregated
1105,1116,100,5,temporal_contact_aggregated
1105,1142,20,1,temporal_contact_aggregated
1105,1144,100,5,temporal_contact_aggregated
1105,1149,960,48,temporal_contact_aggregated
1105,1159,180,9,temporal_contact_aggregated
1105,1164,160,8,temporal_contact_aggregated
1105,1179,120,6,temporal_contact_aggregated
1105,1191,140,7,temporal_contact_aggregated
1105,1193,140,7,temporal_contact_aggregated
1105,1196,1080,54,temporal_contact_aggregated
1105,1202,460,23,temporal_contact_aggregated
1105,1205,1000,50,temporal_contact_aggregated
1105,1207,120,6,temporal_contact_aggregated
1105,1210,200,10,temporal_contact_aggregated
1105,1221,20,1,temporal_contact_aggregated
1105,1232,140,7,temporal_contact_aggregated
1105,1245,280,14,temporal_contact_aggregated
1105,1295,400,20,temporal_contact_aggregated
1105,1307,320,16,temporal_contact_aggregated
1105,1320,120,6,temporal_contact_aggregated
1105,1362,40,2,temporal_contact_aggregated
1105,1378,180,9,temporal_contact_aggregated
1105,1383,180,9,temporal_contact_aggregated
1105,1393,600,30,temporal_contact_aggregated
1108,1109,20,1,temporal_contact_aggregated
1108,1114,40,2,temporal_contact_aggregated
1108,1115,160,8,temporal_contact_aggregated
1108,1144,140,7,temporal_contact_aggregated
1108,1148,40,2,temporal_contact_aggregated
1108,1149,40,2,temporal_contact_aggregated
1108,1157,120,6,temporal_contact_aggregated
1108,1159,160,8,temporal_contact_aggregated
1108,1164,120,6,temporal_contact_aggregated
1108,1181,60,3,temporal_contact_aggregated
1108,1191,120,6,temporal_contact_aggregated
1108,1193,120,6,temporal_contact_aggregated
1108,1205,40,2,temporal_contact_aggregated
1108,1207,120,6,temporal_contact_aggregated
1108,1210,20,1,temporal_contact_aggregated
1108,1245,80,4,temporal_contact_aggregated
1108,1260,60,3,temporal_contact_aggregated
1108,1295,280,14,temporal_contact_aggregated
1108,1320,20,1,temporal_contact_aggregated
1108,1327,180,9,temporal_contact_aggregated
1108,1352,1000,50,temporal_contact_aggregated
1108,1362,580,29,temporal_contact_aggregated
1108,1363,40,2,temporal_contact_aggregated
1108,1365,60,3,temporal_contact_aggregated
1108,1383,160,8,temporal_contact_aggregated
1108,1385,140,7,temporal_contact_aggregated
1108,1391,460,23,temporal_contact_aggregated
1108,1393,20,1,temporal_contact_aggregated
1108,1395,500,25,temporal_contact_aggregated
1108,1629,280,14,temporal_contact_aggregated
1108,1658,180,9,temporal_contact_aggregated
1108,1702,500,25,temporal_contact_aggregated
1109,1114,1140,57,temporal_contact_aggregated
1109,1115,7340,367,temporal_contact_aggregated
1109,1142,680,34,temporal_contact_aggregated
1109,1144,180,9,temporal_contact_aggregated
1109,1149,740,37,temporal_contact_aggregated
1109,1157,340,17,temporal_contact_aggregated
1109,1159,80,4,temporal_contact_aggregated
1109,1164,1120,56,temporal_contact_aggregated
1109,1168,80,4,temporal_contact_aggregated
1109,1179,980,49,temporal_contact_aggregated
1109,1181,80,4,temporal_contact_aggregated
1109,1190,1120,56,temporal_contact_aggregated
1109,1191,140,7,temporal_contact_aggregated
1109,1193,760,38,temporal_contact_aggregated
1109,1196,320,16,temporal_contact_aggregated
1109,1202,40,2,temporal_contact_aggregated
1109,1205,540,27,temporal_contact_aggregated
1109,1207,4860,243,temporal_contact_aggregated
1109,1210,3700,185,temporal_contact_aggregated
1109,1221,200,10,temporal_contact_aggregated
1109,1232,160,8,temporal_contact_aggregated
1109,1245,40,2,temporal_contact_aggregated
1109,1246,40,2,temporal_contact_aggregated
1109,1260,140,7,temporal_contact_aggregated
1109,1295,1140,57,temporal_contact_aggregated
1109,1305,20,1,temporal_contact_aggregated
1109,1307,220,11,temporal_contact_aggregated
1109,1320,80,4,temporal_contact_aggregated
1109,1327,40,2,temporal_contact_aggregated
1109,1352,960,48,temporal_contact_aggregated
1109,1362,280,14,temporal_contact_aggregated
1109,1365,480,24,temporal_contact_aggregated
1109,1374,20,1,temporal_contact_aggregated
1109,1377,120,6,temporal_contact_aggregated
1109,1378,780,39,temporal_contact_aggregated
1109,1383,340,17,temporal_contact_aggregated
1109,1391,220,11,temporal_contact_aggregated
1109,1393,420,21,temporal_contact_aggregated
1109,1395,40,2,temporal_contact_aggregated
1109,1399,80,4,temporal_contact_aggregated
1109,1401,300,15,temporal_contact_aggregated
1109,1416,120,6,temporal_contact_aggregated
1109,1460,40,2,temporal_contact_aggregated
1109,1469,340,17,temporal_contact_aggregated
1109,1535,20,1,temporal_contact_aggregated
1109,1625,1880,94,temporal_contact_aggregated
1109,1629,220,11,temporal_contact_aggregated
1109,1658,300,15,temporal_contact_aggregated
1109,1701,80,4,temporal_contact_aggregated
1109,1702,20,1,temporal_contact_aggregated
1109,1769,80,4,temporal_contact_aggregated
1114,1115,1040,52,temporal_contact_aggregated
1114,1116,100,5,temporal_contact_aggregated
1114,1130,280,14,temporal_contact_aggregated
1114,1142,20,1,temporal_contact_aggregated
1114,1144,540,27,temporal_contact_aggregated
1114,1148,80,4,temporal_contact_aggregated
1114,1149,920,46,temporal_contact_aggregated
1114,1152,240,12,temporal_contact_aggregated
1114,1157,460,23,temporal_contact_aggregated
1114,1164,1680,84,temporal_contact_aggregated
1114,1168,40,2,temporal_contact_aggregated
1114,1179,200,10,temporal_contact_aggregated
1114,1181,60,3,temporal_contact_aggregated
1114,1190,20,1,temporal_contact_aggregated
1114,1191,400,20,temporal_contact_aggregated
1114,1193,60,3,temporal_contact_aggregated
1114,1196,260,13,temporal_contact_aggregated
1114,1202,60,3,temporal_contact_aggregated
1114,1205,40,2,temporal_contact_aggregated
1114,1207,1340,67,temporal_contact_aggregated
1114,1210,540,27,temporal_contact_aggregated
1114,1245,380,19,temporal_contact_aggregated
1114,1260,200,10,temporal_contact_aggregated
1114,1295,10900,545,temporal_contact_aggregated
1114,1305,80,4,temporal_contact_aggregated
1114,1307,60,3,temporal_contact_aggregated
1114,1320,140,7,temporal_contact_aggregated
1114,1323,60,3,temporal_contact_aggregated
1114,1365,1060,53,temporal_contact_aggregated
1114,1377,20,1,temporal_contact_aggregated
1114,1378,980,49,temporal_contact_aggregated
1114,1383,1200,60,temporal_contact_aggregated
1114,1393,600,30,temporal_contact_aggregated
1114,1399,220,11,temporal_contact_aggregated
1114,1401,20,1,temporal_contact_aggregated
1114,1416,20,1,temporal_contact_aggregated
1114,1629,320,16,temporal_contact_aggregated
1114,1658,100,5,temporal_contact_aggregated
1114,1671,20,1,temporal_contact_aggregated
1114,1702,20,1,temporal_contact_aggregated
1115,1130,100,5,temporal_contact_aggregated
1115,1142,20,1,temporal_contact_aggregated
1115,1144,440,22,temporal_contact_aggregated
1115,1148,40,2,temporal_contact_aggregated
1115,1149,1500,75,temporal_contact_aggregated
1115,1157,380,19,temporal_contact_aggregated
1115,1159,80,4,temporal_contact_aggregated
1115,1164,1540,77,temporal_contact_aggregated
1115,1179,400,20,temporal_contact_aggregated
1115,1181,780,39,temporal_contact_aggregated
1115,1190,2500,125,temporal_contact_aggregated
1115,1191,20,1,temporal_contact_aggregated
1115,1193,4160,208,temporal_contact_aggregated
1115,1196,940,47,temporal_contact_aggregated
1115,1205,440,22,temporal_contact_aggregated
1115,1207,11060,553,temporal_contact_aggregated
1115,1209,80,4,temporal_contact_aggregated
1115,1210,21180,1059,temporal_contact_aggregated
1115,1221,160,8,temporal_contact_aggregated
1115,1232,160,8,temporal_contact_aggregated
1115,1245,460,23,temporal_contact_aggregated
1115,1260,260,13,temporal_contact_aggregated
1115,1295,3460,173,temporal_contact_aggregated
1115,1307,1000,50,temporal_contact_aggregated
1115,1320,1020,51,temporal_contact_aggregated
1115,1323,740,37,temporal_contact_aggregated
1115,1327,140,7,temporal_contact_aggregated
1115,1352,180,9,temporal_contact_aggregated
1115,1362,360,18,temporal_contact_aggregated
1115,1363,80,4,temporal_contact_aggregated
1115,1365,2600,130,temporal_contact_aggregated
1115,1374,40,2,temporal_contact_aggregated
1115,1377,20,1,temporal_contact_aggregated
1115,1378,2780,139,temporal_contact_aggregated
1115,1383,1920,96,temporal_contact_aggregated
1115,1385,260,13,temporal_contact_aggregated
1115,1391,460,23,temporal_contact_aggregated
1115,1393,500,25,temporal_contact_aggregated
1115,1395,480,24,temporal_contact_aggregated
1115,1399,140,7,temporal_contact_aggregated
1115,1401,1180,59,temporal_contact_aggregated
1115,1416,20,1,temporal_contact_aggregated
1115,1460,220,11,temporal_contact_aggregated
1115,1469,80,4,temporal_contact_aggregated
1115,1535,60,3,temporal_contact_aggregated
1115,1547,1240,62,temporal_contact_aggregated
1115,1625,680,34,temporal_contact_aggregated
1115,1629,700,35,temporal_contact_aggregated
1115,1658,6380,319,temporal_contact_aggregated
1115,1660,120,6,temporal_contact_aggregated
1115,1701,180,9,temporal_contact_aggregated
1115,1702,1400,70,temporal_contact_aggregated
1116,1142,20,1,temporal_contact_aggregated
1116,1164,120,6,temporal_contact_aggregated
1116,1179,20,1,temporal_contact_aggregated
1116,1190,60,3,temporal_contact_aggregated
1116,1193,660,33,temporal_contact_aggregated
1116,1196,40,2,temporal_contact_aggregated
1116,1261,20,1,temporal_contact_aggregated
1116,1295,40,2,temporal_contact_aggregated
1116,1305,20,1,temporal_contact_aggregated
1116,1320,20,1,temporal_contact_aggregated
1116,1352,80,4,temporal_contact_aggregated
1116,1365,240,12,temporal_contact_aggregated
1116,1378,80,4,temporal_contact_aggregated
1116,1383,60,3,temporal_contact_aggregated
1116,1393,80,4,temporal_contact_aggregated
1116,1399,80,4,temporal_contact_aggregated
1130,1144,1480,74,temporal_contact_aggregated
1130,1149,600,30,temporal_contact_aggregated
1130,1157,3780,189,temporal_contact_aggregated
1130,1159,960,48,temporal_contact_aggregated
1130,1164,280,14,temporal_contact_aggregated
1130,1168,380,19,temporal_contact_aggregated
1130,1190,80,4,temporal_contact_aggregated
1130,1191,500,25,temporal_contact_aggregated
1130,1193,100,5,temporal_contact_aggregated
1130,1196,480,24,temporal_contact_aggregated
1130,1202,40,2,temporal_contact_aggregated
1130,1205,20,1,temporal_contact_aggregated
1130,1207,100,5,temporal_contact_aggregated
1130,1209,20,1,temporal_contact_aggregated
1130,1210,100,5,temporal_contact_aggregated
1130,1221,2980,149,temporal_contact_aggregated
1130,1232,40,2,temporal_contact_aggregated
1130,1260,1340,67,temporal_contact_aggregated
1130,1295,360,18,temporal_contact_aggregated
1130,1365,260,13,temporal_contact_aggregated
1130,1378,260,13,temporal_contact_aggregated
1130,1385,340,17,temporal_contact_aggregated
1130,1401,240,12,temporal_contact_aggregated
1130,1460,20,1,temporal_contact_aggregated
1130,1547,1100,55,temporal_contact_aggregated
1130,1629,120,6,temporal_contact_aggregated
1130,1658,60,3,temporal_contact_aggregated
1130,1660,860,43,temporal_contact_aggregated
1130,1769,1740,87,temporal_contact_aggregated
1142,1144,20,1,temporal_contact_aggregated
1142,1149,40,2,temporal_contact_aggregated
1142,1157,20,1,temporal_contact_aggregated
1142,1159,20,1,temporal_contact_aggregated
1142,1164,100,5,temporal_contact_aggregated
1142,1179,40,2,temporal_contact_aggregated
1142,1181,60,3,temporal_contact_aggregated
1142,1190,240,12,temporal_contact_aggregated
1142,1193,240,12,temporal_contact_aggregated
1142,1202,1400,70,temporal_contact_aggregated
