source,target,weight,n_contacts,transmission
1426,1427,540,27,temporal_contact_aggregated
1426,1428,900,45,temporal_contact_aggregated
1426,1429,1500,75,temporal_contact_aggregated
1426,1430,380,19,temporal_contact_aggregated
1426,1431,860,43,temporal_contact_aggregated
1426,1434,160,8,temporal_contact_aggregated
1426,1435,240,12,temporal_contact_aggregated
1426,1437,460,23,temporal_contact_aggregated
1426,1439,540,27,temporal_contact_aggregated
1426,1441,160,8,temporal_contact_aggregated
1426,1443,880,44,temporal_contact_aggregated
1426,1451,20,1,temporal_contact_aggregated
1426,1452,220,11,temporal_contact_aggregated
1426,1457,60,3,temporal_contact_aggregated
1426,1458,60,3,temporal_contact_aggregated
1426,1459,260,13,temporal_contact_aggregated
1426,1465,240,12,temporal_contact_aggregated
1426,1468,1020,51,temporal_contact_aggregated
1426,1471,1180,59,temporal_contact_aggregated
1426,1475,180,9,temporal_contact_aggregated
1426,1477,220,11,temporal_contact_aggregated
1426,1480,320,16,temporal_contact_aggregated
1426,1482,460,23,temporal_contact_aggregated
1426,1483,80,4,temporal_contact_aggregated
1426,1486,2480,124,temporal_contact_aggregated
1426,1489,140,7,temporal_contact_aggregated
1426,1493,60,3,temporal_contact_aggregated
1426,1498,1160,58,temporal_contact_aggregated
1426,1500,60,3,temporal_contact_aggregated
1426,1501,100,5,temporal_contact_aggregated
1426,1502,80,4,temporal_contact_aggregated
1426,1511,220,11,temporal_contact_aggregated
1426,1516,80,4,temporal_contact_aggregated
1426,1520,480,24,temporal_contact_aggregated
1426,1522,80,4,temporal_contact_aggregated
1426,1525,80,4,temporal_contact_aggregated
1426,1528,120,6,temporal_contact_aggregated
1426,1532,40,2,temporal_contact_aggregated
1426,1533,200,10,temporal_contact_aggregated
1426,1545,20,1,temporal_contact_aggregated
1426,1548,60,3,temporal_contact_aggregated
1426,1551,40,2,temporal_contact_aggregated
1426,1552,20,1,temporal_contact_aggregated
1426,1558,20,1,temporal_contact_aggregated
1426,1563,380,19,temporal_contact_aggregated
1426,1564,20,1,temporal_contact_aggregated
1426,1574,20,1,temporal_contact_aggregated
1426,1578,720,36,temporal_contact_aggregated
1426,1585,1180,59,temporal_contact_aggregated
1426,1592,420,21,temporal_contact_aggregated
1426,1628,40,2,temporal_contact_aggregated
1426,1630,20,1,temporal_contact_aggregated
1426,1656,820,41,temporal_contact_aggregated
1426,1664,20,1,temporal_contact_aggregated
1426,1665,20,1,temporal_contact_aggregated
1426,1666,20,1,temporal_contact_aggregated
1426,1673,240,12,temporal_contact_aggregated
1426,1684,100,5,temporal_contact_aggregated
1426,1695,40,2,temporal_contact_aggregated
1426,1696,20,1,temporal_contact_aggregated
1426,1698,20,1,temporal_contact_aggregated
1426,1700,60,3,temporal_contact_aggregated
1426,1705,60,3,temporal_contact_aggregated
1426,1708,20,1,temporal_contact_aggregated
1426,1730,20,1,temporal_contact_aggregated
1426,1749,40,2,temporal_contact_aggregated
1426,1750,240,12,temporal_contact_aggregated
1426,1751,60,3,temporal_contact_aggregated
1426,1761,40,2,temporal_contact_aggregated
1426,1765,40,2,temporal_contact_aggregated
1426,1780,60,3,temporal_contact_aggregated
1426,1782,20,1,temporal_contact_aggregated
1426,1787,20,1,temporal_contact_aggregated
1426,1797,80,4,temporal_contact_aggregated
1426,1798,20,1,temporal_contact_aggregated
1426,1824,460,23,temporal_contact_aggregated
1426,1833,60,3,temporal_contact_aggregated
1426,1837,200,10,temporal_contact_aggregated
1426,1866,20,1,temporal_contact_aggregated
1426,1885,20,1,temporal_contact_aggregated
1426,1895,20,1,temporal_contact_aggregated
1426,1902,20,1,temporal_contact_aggregated
1426,1912,20,1,temporal_contact_aggregated
1427,1428,80,4,temporal_contact_aggregated
1427,1429,2000,100,temporal_contact_aggregated
1427,1430,80,4,temporal_contact_aggregated
1427,1431,1260,63,temporal_contact_aggregated
1427,1434,400,20,temporal_contact_aggregated
1427,1435,100,5,temporal_contact_aggregated
1427,1437,880,44,temporal_contact_aggregated
1427,1439,260,13,temporal_contact_aggregated
1427,1441,160,8,temporal_contact_aggregated
1427,1443,900,45,temporal_contact_aggregated
1427,1451,20,1,temporal_contact_aggregated
1427,1452,20,1,temporal_contact_aggregated
1427,1453,40,2,temporal_contact_aggregated
1427,1457,200,10,temporal_contact_aggregated
1427,1458,60,3,temporal_contact_aggregated
1427,1461,20,1,temporal_contact_aggregated
1427,1465,3020,151,temporal_contact_aggregated
1427,1471,220,11,temporal_contact_aggregated
1427,1475,320,16,temporal_contact_aggregated
1427,1477,60,3,temporal_contact_aggregated
1427,1479,20,1,temporal_contact_aggregated
1427,1480,140,7,temporal_contact_aggregated
1427,1482,240,12,temporal_contact_aggregated
