node_id,site,group,sex,hhid,degree,weighted_degree_sec,contact_count,degree_centrality,betweenness_centrality,closeness_centrality,clustering,core_number,graph_center_score,composite_trace_score,rank_by_composite_trace
1665,SocioPatterns primary school,1B,M,sociopatterns_primary_school_component_0,123,48940.0,2447.0,0.5103734439834025,0.009243899736491683,0.6713091922005571,0.40956950553112087,47,0.5,0.51631217616647,1
1697,SocioPatterns primary school,1B,M,sociopatterns_primary_school_component_0,116,50640.0,2532.0,0.48132780082987553,0.006820835479909158,0.6584699453551912,0.4373313343328336,47,0.5,0.5138535697071784,2
1695,SocioPatterns primary school,1B,F,sociopatterns_primary_school_component_0,103,51880.0,2594.0,0.42738589211618255,0.005072847273513132,0.6358839050131926,0.43670283647439556,47,0.5,0.5005996316953666,3
1698,SocioPatterns primary school,1B,M,sociopatterns_primary_school_component_0,99,48840.0,2442.0,0.4107883817427386,0.005150046686380632,0.6292428198433421,0.46485260770975056,47,0.5,0.4801567525077589,4
1613,SocioPatterns primary school,2A,M,sociopatterns_primary_school_component_0,111,44980.0,2249.0,0.4605809128630705,0.009159601451164838,0.6495956873315364,0.40606060606060607,47,0.5,0.47978543254481343,5
1890,SocioPatterns primary school,2B,M,sociopatterns_primary_school_component_0,120,41920.0,2096.0,0.4979253112033195,0.00991536645096514,0.6657458563535912,0.43529411764705883,47,0.5,0.47826155827149364,6
1912,SocioPatterns primary school,1B,M,sociopatterns_primary_school_component_0,111,44540.0,2227.0,0.4605809128630705,0.005776456265741557,0.6495956873315364,0.4543816543816544,47,0.5,0.47698852594412045,7
1666,SocioPatterns primary school,1B,M,sociopatterns_primary_school_component_0,110,44680.0,2234.0,0.45643153526970953,0.006394809439871937,0.6478494623655914,0.43319432860717266,47,0.5,0.4763345481915092,8
1675,SocioPatterns primary school,1B,F,sociopatterns_primary_school_component_0,104,43940.0,2197.0,0.4315352697095436,0.0056731860358014835,0.6375661375661376,0.43876026885735625,47,0.5,0.46391060920765936,9
1700,SocioPatterns primary school,3B,F,sociopatterns_primary_school_component_0,121,38620.0,1931.0,0.5020746887966805,0.008142805664809146,0.667590027700831,0.4297520661157025,47,0.5,0.4634572465448763,10
1851,SocioPatterns primary school,2B,M,sociopatterns_primary_school_component_0,111,39280.0,1964.0,0.4605809128630705,0.008706620171539902,0.6495956873315364,0.4443898443898444,47,0.5,0.4522276042148715,11
1558,SocioPatterns primary school,3B,M,sociopatterns_primary_school_component_0,101,42380.0,2119.0,0.4190871369294606,0.005689085624285397,0.6325459317585301,0.4647524752475248,47,0.5,0.4520395949268067,12
1765,SocioPatterns primary school,1B,F,sociopatterns_primary_school_component_0,118,36900.0,1845.0,0.4896265560165975,0.008126839798377541,0.6620879120879121,0.4151818050123135,47,0.5,0.45080884914991015,13
1708,SocioPatterns primary school,2B,M,sociopatterns_primary_school_component_0,118,36780.0,1839.0,0.4896265560165975,0.008576683128491724,0.6620879120879121,0.44400985078951183,47,0.5,0.45032056029858536,14
1579,SocioPatterns primary school,3B,M,sociopatterns_primary_school_component_0,122,35280.0,1764.0,0.5062240663900415,0.008740751914188794,0.6694444444444444,0.4187779433681073,47,0.5,0.44893428371958355,15
1551,SocioPatterns primary school,3B,M,sociopatterns_primary_school_component_0,134,30280.0,1514.0,0.5560165975103735,0.013270962739313342,0.6925287356321839,0.39591516103692065,47,0.5,0.44317364855390273,16
1552,SocioPatterns primary school,3B,F,sociopatterns_primary_school_component_0,123,33680.0,1684.0,0.5103734439834025,0.00981664601602259,0.6713091922005571,0.4174330267892843,47,0.5,0.4428916444663237,17
1628,SocioPatterns primary school,2A,M,sociopatterns_primary_school_component_0,111,36740.0,1837.0,0.4605809128630705,0.008552534751028565,0.6495956873315364,0.42882882882882883,47,0.5,0.43995700301357565,18
1780,SocioPatterns primary school,3A,M,sociopatterns_primary_school_component_0,129,30680.0,1534.0,0.5352697095435685,0.008226304919442281,0.6827195467422096,0.44004360465116277,47,0.5,0.4368308312593726,19
1625,SocioPatterns primary school,2A,M,sociopatterns_primary_school_component_0,104,38120.0,1906.0,0.4315352697095436,0.006349551218107788,0.6375661375661376,0.4443614637789395,47,0.5,0.4360003926527559,20
1673,SocioPatterns primary school,1B,M,sociopatterns_primary_school_component_0,124,31360.0,1568.0,0.5145228215767634,0.008365147161256222,0.6731843575418994,0.4154209284028324,47,0.5,0.4328739815176573,21
1822,SocioPatterns primary school,3A,M,sociopatterns_primary_school_component_0,113,33940.0,1697.0,0.46887966804979253,0.005208216800886263,0.6531165311653117,0.47850821744627053,47,0.5,0.4287000283341197,22
1437,SocioPatterns primary school,5B,F,sociopatterns_primary_school_component_0,95,38200.0,1910.0,0.3941908713692946,0.004901823462618675,0.6227390180878553,0.47592385218365063,47,0.5,0.4230258126941361,23
1889,SocioPatterns primary school,2B,F,sociopatterns_primary_school_component_0,87,40380.0,2019.0,0.36099585062240663,0.004734361874333249,0.610126582278481,0.4768778401496926,47,0.5,0.42187907468021857,24
1833,SocioPatterns primary school,3A,M,sociopatterns_primary_school_component_0,117,31100.0,1555.0,0.4854771784232365,0.006515274582847989,0.6602739726027397,0.4450338933097554,47,0.5,0.4210851406106546,25
1563,SocioPatterns primary school,5B,F,sociopatterns_primary_school_component_0,97,36980.0,1849.0,0.4024896265560166,0.006713279694554332,0.625974025974026,0.4420103092783505,47,0.5,0.42041371682950746,26
1457,SocioPatterns primary school,5A,F,sociopatterns_primary_school_component_0,111,32040.0,1602.0,0.4605809128630705,0.006894366012295783,0.6495956873315364,0.45257985257985256,47,0.5,0.41697694983637656,27
1911,SocioPatterns primary school,2A,M,sociopatterns_primary_school_component_0,97,35760.0,1788.0,0.4024896265560166,0.005020497984979357,0.625974025974026,0.48152920962199314,47,0.5,0.4141962090612239,28
1757,SocioPatterns primary school,1A,F,sociopatterns_primary_school_component_0,112,31080.0,1554.0,0.46473029045643155,0.0059567213981159585,0.6513513513513514,0.45962033462033464,47,0.5,0.41361564293243513,29
1684,SocioPatterns primary school,1B,F,sociopatterns_primary_school_component_0,103,32980.0,1649.0,0.42738589211618255,0.005510938919018144,0.6358839050131926,0.4504092899295641,47,0.5,0.40961169104220074,30
1688,SocioPatterns primary school,1B,M,sociopatterns_primary_school_component_0,86,37860.0,1893.0,0.35684647302904565,0.004330694428647376,0.6085858585858586,0.44076607387140904,47,0.5,0.4082026511691028,31
1749,SocioPatterns primary school,2B,F,sociopatterns_primary_school_component_0,92,35400.0,1770.0,0.3817427385892116,0.005101500992820504,0.617948717948718,0.4617773530817009,47,0.5,0.4052162263223672,32
1458,SocioPatterns primary school,5A,M,sociopatterns_primary_school_component_0,98,33520.0,1676.0,0.4066390041493776,0.00667919122838685,0.6276041666666666,0.42478434672838206,47,0.5,0.40518608954375757,33
1916,SocioPatterns primary school,2A,M,sociopatterns_primary_school_component_0,109,29880.0,1494.0,0.45228215767634855,0.006579932697054401,0.646112600536193,0.45922528032619775,47,0.5,0.40360086354571656,34
1761,SocioPatterns primary school,1A,M,sociopatterns_primary_school_component_0,128,23940.0,1197.0,0.5311203319502075,0.010299139150097687,0.6807909604519774,0.41326279527559057,47,0.5,0.40331431872346335,35
1902,SocioPatterns primary school,2A,M,sociopatterns_primary_school_component_0,98,32800.0,1640.0,0.4066390041493776,0.005910879595593586,0.6276041666666666,0.4548706080370292,47,0.5,0.40156288211311253,36
1837,SocioPatterns primary school,4A,M,sociopatterns_primary_school_component_0,96,31640.0,1582.0,0.3983402489626556,0.005225941428382214,0.6243523316062176,0.46074561403508774,47,0.5,0.39293150749662287,37
1498,SocioPatterns primary school,5A,M,sociopatterns_primary_school_component_0,106,27580.0,1379.0,0.43983402489626555,0.006471003213784389,0.6409574468085106,0.43863432165318955,47,0.5,0.3881389620935354,38
1533,SocioPatterns primary school,4A,M,sociopatterns_primary_school_component_0,96,29960.0,1498.0,0.3983402489626556,0.005172125069160935,0.6243523316062176,0.47982456140350876,47,0.5,0.3848251389819104,39
1560,SocioPatterns primary school,3B,F,sociopatterns_primary_school_component_0,100,28680.0,1434.0,0.4149377593360996,0.005847862959700832,0.6308900523560209,0.41838383838383836,47,0.5,0.3846013350056814,40
1719,SocioPatterns primary school,3A,F,sociopatterns_primary_school_component_0,90,31160.0,1558.0,0.37344398340248963,0.004183047838096477,0.6147959183673469,0.4826466916354557,47,0.5,0.3816962057631167,41
1572,SocioPatterns primary school,3B,F,sociopatterns_primary_school_component_0,106,25960.0,1298.0,0.43983402489626555,0.006133692694536004,0.6409574468085106,0.43557951482479784,47,0.5,0.3802650235054914,42
1503,SocioPatterns primary school,4A,F,sociopatterns_primary_school_component_0,93,29580.0,1479.0,0.38589211618257263,0.006561643708387991,0.6195372750642674,0.4359513791491351,47,0.5,0.3789150474317924,43
1480,SocioPatterns primary school,5B,F,sociopatterns_primary_school_component_0,95,28500.0,1425.0,0.3941908713692946,0.006256881031039342,0.6227390180878553,0.451959686450168,47,0.5,0.3765543415555458,44
1477,SocioPatterns primary school,5A,M,sociopatterns_primary_school_component_0,98,27280.0,1364.0,0.4066390041493776,0.006795635829698541,0.6276041666666666,0.42857142857142855,47,0.5,0.3751399875619381,45
1909,SocioPatterns primary school,3A,M,sociopatterns_primary_school_component_0,97,27380.0,1369.0,0.4024896265560166,0.003659610777768358,0.625974025974026,0.4997852233676976,47,0.5,0.3735423816583322,46
1730,SocioPatterns primary school,4A,Unknown,sociopatterns_primary_school_component_0,108,23840.0,1192.0,0.44813278008298757,0.006160150285539739,0.6443850267379679,0.46053997923156803,47,0.5,0.37295899653256837,47
1704,SocioPatterns primary school,2B,M,sociopatterns_primary_school_component_0,95,27140.0,1357.0,0.3941908713692946,0.004376261918223151,0.6227390180878553,0.5106382978723404,47,0.5,0.3696246325363749,48
1838,SocioPatterns primary school,3A,M,sociopatterns_primary_school_component_0,90,28680.0,1434.0,0.37344398340248963,0.0033739123169362686,0.6147959183673469,0.49388264669163545,47,0.5,0.36958372330036504,49
1664,SocioPatterns primary school,1B,M,sociopatterns_primary_school_component_0,85,30060.0,1503.0,0.35269709543568467,0.003387707515059869,0.6070528967254408,0.4837535014005602,47,0.5,0.3689750330011069,50
1861,SocioPatterns primary school,2B,F,sociopatterns_primary_school_component_0,80,38300.0,1915.0,0.33195020746887965,0.003781772216696472,0.598014888337469,0.48037974683544304,47,0.3333333333333333,0.3681661180109295,51
1443,SocioPatterns primary school,5B,F,sociopatterns_primary_school_component_0,96,24920.0,1246.0,0.3983402489626556,0.005187437252506517,0.6243523316062176,0.4723684210526316,47,0.5,0.36054138568997507,52
1887,SocioPatterns primary school,2B,M,sociopatterns_primary_school_component_0,89,26980.0,1349.0,0.36929460580912865,0.0045212438891206914,0.6132315521628499,0.47650663942798777,47,0.5,0.36016892596136607,53
1855,SocioPatterns primary school,2B,M,sociopatterns_primary_school_component_0,89,26960.0,1348.0,0.36929460580912865,0.0037976783236200015,0.6132315521628499,0.524514811031665,47,0.5,0.35992783659537464,54
1795,SocioPatterns primary school,3A,F,sociopatterns_primary_school_component_0,89,26600.0,1330.0,0.36929460580912865,0.0027397003907934196,0.6132315521628499,0.5360061287027579,47,0.5,0.35798146845676626,55
1594,SocioPatterns primary school,3B,M,sociopatterns_primary_school_component_0,97,23940.0,1197.0,0.4024896265560166,0.004981052635964397,0.625974025974026,0.46069587628865977,47,0.5,0.3572299545326699,56
1434,SocioPatterns primary school,5B,F,sociopatterns_primary_school_component_0,94,24580.0,1229.0,0.3900414937759336,0.005507859990302448,0.6211340206185567,0.44680851063829785,47,0.5,0.35606250962302965,57
1722,SocioPatterns primary school,3A,F,sociopatterns_primary_school_component_0,95,24300.0,1215.0,0.3941908713692946,0.003351765982569172,0.6227390180878553,0.4998880179171333,47,0.5,0.35573430543868134,58
1767,SocioPatterns primary school,1A,M,sociopatterns_primary_school_component_0,85,26560.0,1328.0,0.35269709543568467,0.0031744205747218763,0.6070528967254408,0.5050420168067227,47,0.5,0.3520665313570639,59
1452,SocioPatterns primary school,5A,M,sociopatterns_primary_school_component_0,77,28660.0,1433.0,0.31950207468879666,0.0028603343168716474,0.5950617283950618,0.5184552289815447,47,0.5,0.35050496339766823,60
1617,SocioPatterns primary school,2A,F,sociopatterns_primary_school_component_0,72,29500.0,1475.0,0.2987551867219917,0.002533063996316194,0.5878048780487805,0.4894366197183099,47,0.5,0.3472259011666095,61
1768,SocioPatterns primary school,1A,F,sociopatterns_primary_school_component_0,96,22020.0,1101.0,0.3983402489626556,0.0047907756291694055,0.6243523316062176,0.4723684210526316,47,0.5,0.34648749669607093,62
1696,SocioPatterns primary school,1B,F,sociopatterns_primary_school_component_0,79,27180.0,1359.0,0.3278008298755187,0.002988304662451502,0.598014888337469,0.47938980850373253,47,0.5,0.3463032790681817,63
1663,SocioPatterns primary school,1B,F,sociopatterns_primary_school_component_0,55,41200.0,2060.0,0.22821576763485477,0.0019204434645749499,0.5617715617715617,0.48754208754208755,41,0.3333333333333333,0.34546135498783326,64
1857,SocioPatterns primary school,4B,F,sociopatterns_primary_school_component_0,88,23960.0,1198.0,0.3651452282157676,0.00512014204929989,0.6116751269035533,0.4386102403343783,47,0.5,0.34428360924914114,65
1532,SocioPatterns primary school,4A,M,sociopatterns_primary_school_component_0,92,22780.0,1139.0,0.3817427385892116,0.0041612769376655305,0.617948717948718,0.48757763975155277,47,0.5,0.3442147659369337,66
