model,model_family,feature_set,seed,fold,threshold,best_epoch,best_val_ap,patience,max_epochs,early_stopped,train_auc,train_ap,train_accuracy,train_f1,train_precision,train_recall,train_brier,train_positives,train_n,validation_auc,validation_ap,validation_accuracy,validation_f1,validation_precision,validation_recall,validation_brier,validation_positives,validation_n,test_auc,test_ap,test_accuracy,test_f1,test_precision,test_recall,test_brier,test_positives,test_n,hidden_dim
graph_full,ablation,full,11,0,0.05,35,0.8575103458613661,50,800,True,0.6742424242424242,0.8233124429301146,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.24771736636099365,80,113,0.6641129032258064,0.8575103458613661,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.2487068126731694,80,111,0.6045855379188713,0.7794747586977787,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.2487653887009274,81,116,
no_graph_mlp_full,ablation,full_no_graph,11,0,0.05,797,0.7767045336428321,50,800,True,0.6465909090909091,0.8370400457133907,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.24991235869785314,80,113,0.5540322580645162,0.7767045336428321,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.2501241074926613,80,111,0.564726631393298,0.7622780022535524,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.2501132416854811,81,116,8.0
graph_remove_metadata,ablation,remove_metadata,11,0,0.05,28,0.7238168525339435,50,800,True,0.5835227272727272,0.7949410667221516,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.25069287604127666,80,113,0.5199596774193549,0.7238168525339435,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.2509961140929806,80,111,0.4202821869488536,0.6570465451563268,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.2511038353319042,81,116,
graph_remove_centrality,ablation,remove_centrality,11,0,0.4799999999999999,44,0.8742999379959517,50,800,True,0.6806818181818182,0.8475340879581241,0.6902654867256637,0.8167539267015707,0.7027027027027027,0.975,0.24775811382951596,80,113,0.6891129032258064,0.8742999379959517,0.7297297297297297,0.8421052631578948,0.7272727272727273,1.0,0.2487617856007494,80,111,0.6038800705467372,0.7772997083934535,0.6896551724137931,0.8144329896907216,0.6991150442477876,0.9753086419753086,0.24865192237698103,81,116,
graph_remove_edge_contact,ablation,remove_edge_contact,11,0,0.05,79,0.8532097394901621,50,800,True,0.6590909090909091,0.8162390989190318,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.24521639267073608,80,113,0.6536290322580646,0.8532097394901621,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.24631780645674417,80,111,0.6335097001763669,0.7876377035264827,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.24554017367218722,81,116,
graph_full,ablation,full,11,1,0.05,151,0.7639825123561559,50,800,True,0.7435626102292769,0.8730113336505083,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.22966341458415845,81,116,0.6090909090909091,0.7639825123561559,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.2428743998432803,80,113,0.6048387096774194,0.8262335036239049,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.24079785197136788,80,111,
no_graph_mlp_full,ablation,full_no_graph,11,1,0.05,98,0.671161422431079,50,800,True,0.5481481481481482,0.7595358512731246,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.249845052728514,81,116,0.4628787878787879,0.671161422431079,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.250007630193388,80,113,0.4467741935483871,0.6785974798602415,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.2500158264862543,80,111,8.0
graph_remove_metadata,ablation,remove_metadata,11,1,0.05,1,0.8045008671342113,50,800,True,0.4721340388007055,0.6689285966191841,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.2515992521871711,81,116,0.6153409090909091,0.8045008671342113,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.2511385380059381,80,113,0.5308467741935484,0.7106430047565411,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.25177074015417844,80,111,
graph_remove_centrality,ablation,remove_centrality,11,1,0.05,123,0.7940449438054783,50,800,True,0.7400352733686067,0.8831141851346611,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.23479915322636932,81,116,0.6015151515151516,0.7940449438054783,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.2441939922546539,80,113,0.6036290322580645,0.816453689567856,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.24399243989141717,80,111,
graph_remove_edge_contact,ablation,remove_edge_contact,11,1,0.42999999999999994,106,0.7810034382115711,50,800,True,0.7506172839506173,0.882210857222602,0.6896551724137931,0.8163265306122449,0.6956521739130435,0.9876543209876543,0.23248009931679112,81,116,0.6113636363636363,0.7810034382115711,0.7168141592920354,0.8333333333333333,0.7142857142857143,1.0,0.2419099584097468,80,113,0.6068548387096774,0.8099633950955963,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.23964235164350695,80,111,
