dataset,task_id,method,snapshot_size,candidate_count,true_source,predicted_source,source_rank,hit_at_1,hit_at_5,mrr,error_hops
sashts,sashts_seed11_sourceJ010-002_frac10,random,3,3,J010-002,J010-003,3,0,1,0.3333333333333333,1
sashts,sashts_seed11_sourceJ010-002_frac10,snapshot_degree,3,3,J010-002,J010-001,2,0,1,0.5,1
sashts,sashts_seed11_sourceJ010-002_frac10,snapshot_weighted_degree,3,3,J010-002,J010-002,1,1,1,1.0,0
sashts,sashts_seed11_sourceJ010-002_frac10,snapshot_closeness,3,3,J010-002,J010-001,2,0,1,0.5,1
sashts,sashts_seed11_sourceJ010-002_frac10,snapshot_betweenness,3,3,J010-002,J010-001,2,0,1,0.5,1
sashts,sashts_seed11_sourceJ010-002_frac10,snapshot_center,3,3,J010-002,J010-001,2,0,1,0.5,1
sashts,sashts_seed11_sourceJ010-002_frac10,graphsage_lodo,3,3,J010-002,J010-002,1,1,1,1.0,0
sashts,sashts_seed11_sourceJ010-002_frac20,random,3,3,J010-002,J010-003,3,0,1,0.3333333333333333,1
sashts,sashts_seed11_sourceJ010-002_frac20,snapshot_degree,3,3,J010-002,J010-001,2,0,1,0.5,1
sashts,sashts_seed11_sourceJ010-002_frac20,snapshot_weighted_degree,3,3,J010-002,J010-002,1,1,1,1.0,0
sashts,sashts_seed11_sourceJ010-002_frac20,snapshot_closeness,3,3,J010-002,J010-001,2,0,1,0.5,1
sashts,sashts_seed11_sourceJ010-002_frac20,snapshot_betweenness,3,3,J010-002,J010-001,2,0,1,0.5,1
sashts,sashts_seed11_sourceJ010-002_frac20,snapshot_center,3,3,J010-002,J010-001,2,0,1,0.5,1
sashts,sashts_seed11_sourceJ010-002_frac20,graphsage_lodo,3,3,J010-002,J010-002,1,1,1,1.0,0
sashts,sashts_seed11_sourceJ010-002_frac30,random,3,3,J010-002,J010-002,1,1,1,1.0,0
sashts,sashts_seed11_sourceJ010-002_frac30,snapshot_degree,3,3,J010-002,J010-001,2,0,1,0.5,1
sashts,sashts_seed11_sourceJ010-002_frac30,snapshot_weighted_degree,3,3,J010-002,J010-002,1,1,1,1.0,0
sashts,sashts_seed11_sourceJ010-002_frac30,snapshot_closeness,3,3,J010-002,J010-001,2,0,1,0.5,1
sashts,sashts_seed11_sourceJ010-002_frac30,snapshot_betweenness,3,3,J010-002,J010-001,2,0,1,0.5,1
sashts,sashts_seed11_sourceJ010-002_frac30,snapshot_center,3,3,J010-002,J010-001,2,0,1,0.5,1
sashts,sashts_seed11_sourceJ010-002_frac30,graphsage_lodo,3,3,J010-002,J010-002,1,1,1,1.0,0
sashts,sashts_seed11_sourceJ023-002_frac10,random,6,6,J023-002,J023-004,6,0,0,0.16666666666666666,1
sashts,sashts_seed11_sourceJ023-002_frac10,snapshot_degree,6,6,J023-002,J023-001,2,0,1,0.5,1
sashts,sashts_seed11_sourceJ023-002_frac10,snapshot_weighted_degree,6,6,J023-002,J023-006,5,0,1,0.2,1
sashts,sashts_seed11_sourceJ023-002_frac10,snapshot_closeness,6,6,J023-002,J023-001,2,0,1,0.5,1
sashts,sashts_seed11_sourceJ023-002_frac10,snapshot_betweenness,6,6,J023-002,J023-001,2,0,1,0.5,1
sashts,sashts_seed11_sourceJ023-002_frac10,snapshot_center,6,6,J023-002,J023-001,2,0,1,0.5,1
sashts,sashts_seed11_sourceJ023-002_frac10,graphsage_lodo,6,6,J023-002,J023-006,5,0,1,0.2,1
sashts,sashts_seed11_sourceJ023-002_frac20,random,6,6,J023-002,J023-002,1,1,1,1.0,0
sashts,sashts_seed11_sourceJ023-002_frac20,snapshot_degree,6,6,J023-002,J023-001,2,0,1,0.5,1
sashts,sashts_seed11_sourceJ023-002_frac20,snapshot_weighted_degree,6,6,J023-002,J023-006,5,0,1,0.2,1
sashts,sashts_seed11_sourceJ023-002_frac20,snapshot_closeness,6,6,J023-002,J023-001,2,0,1,0.5,1
sashts,sashts_seed11_sourceJ023-002_frac20,snapshot_betweenness,6,6,J023-002,J023-001,2,0,1,0.5,1
sashts,sashts_seed11_sourceJ023-002_frac20,snapshot_center,6,6,J023-002,J023-001,2,0,1,0.5,1
sashts,sashts_seed11_sourceJ023-002_frac20,graphsage_lodo,6,6,J023-002,J023-006,5,0,1,0.2,1
sashts,sashts_seed11_sourceJ023-002_frac30,random,6,6,J023-002,J023-002,1,1,1,1.0,0
sashts,sashts_seed11_sourceJ023-002_frac30,snapshot_degree,6,6,J023-002,J023-001,2,0,1,0.5,1
sashts,sashts_seed11_sourceJ023-002_frac30,snapshot_weighted_degree,6,6,J023-002,J023-006,5,0,1,0.2,1
sashts,sashts_seed11_sourceJ023-002_frac30,snapshot_closeness,6,6,J023-002,J023-001,2,0,1,0.5,1
sashts,sashts_seed11_sourceJ023-002_frac30,snapshot_betweenness,6,6,J023-002,J023-001,2,0,1,0.5,1
sashts,sashts_seed11_sourceJ023-002_frac30,snapshot_center,6,6,J023-002,J023-001,2,0,1,0.5,1
sashts,sashts_seed11_sourceJ023-002_frac30,graphsage_lodo,6,6,J023-002,J023-006,5,0,1,0.2,1
sashts,sashts_seed11_sourceJ030-004_frac10,random,3,3,J030-004,J030-004,1,1,1,1.0,0
sashts,sashts_seed11_sourceJ030-004_frac10,snapshot_degree,3,3,J030-004,J030-001,3,0,1,0.3333333333333333,1
sashts,sashts_seed11_sourceJ030-004_frac10,snapshot_weighted_degree,3,3,J030-004,J030-001,3,0,1,0.3333333333333333,1
sashts,sashts_seed11_sourceJ030-004_frac10,snapshot_closeness,3,3,J030-004,J030-001,3,0,1,0.3333333333333333,1
sashts,sashts_seed11_sourceJ030-004_frac10,snapshot_betweenness,3,3,J030-004,J030-001,3,0,1,0.3333333333333333,1
sashts,sashts_seed11_sourceJ030-004_frac10,snapshot_center,3,3,J030-004,J030-001,3,0,1,0.3333333333333333,1
sashts,sashts_seed11_sourceJ030-004_frac10,graphsage_lodo,3,3,J030-004,J030-001,3,0,1,0.3333333333333333,1
sashts,sashts_seed11_sourceJ030-004_frac20,random,3,3,J030-004,J030-003,2,0,1,0.5,1
sashts,sashts_seed11_sourceJ030-004_frac20,snapshot_degree,3,3,J030-004,J030-001,3,0,1,0.3333333333333333,1
sashts,sashts_seed11_sourceJ030-004_frac20,snapshot_weighted_degree,3,3,J030-004,J030-001,3,0,1,0.3333333333333333,1
sashts,sashts_seed11_sourceJ030-004_frac20,snapshot_closeness,3,3,J030-004,J030-001,3,0,1,0.3333333333333333,1
sashts,sashts_seed11_sourceJ030-004_frac20,snapshot_betweenness,3,3,J030-004,J030-001,3,0,1,0.3333333333333333,1
sashts,sashts_seed11_sourceJ030-004_frac20,snapshot_center,3,3,J030-004,J030-001,3,0,1,0.3333333333333333,1
sashts,sashts_seed11_sourceJ030-004_frac20,graphsage_lodo,3,3,J030-004,J030-001,3,0,1,0.3333333333333333,1
sashts,sashts_seed11_sourceJ030-004_frac30,random,3,3,J030-004,J030-004,1,1,1,1.0,0
sashts,sashts_seed11_sourceJ030-004_frac30,snapshot_degree,3,3,J030-004,J030-001,3,0,1,0.3333333333333333,1
sashts,sashts_seed11_sourceJ030-004_frac30,snapshot_weighted_degree,3,3,J030-004,J030-001,3,0,1,0.3333333333333333,1
sashts,sashts_seed11_sourceJ030-004_frac30,snapshot_closeness,3,3,J030-004,J030-001,3,0,1,0.3333333333333333,1
sashts,sashts_seed11_sourceJ030-004_frac30,snapshot_betweenness,3,3,J030-004,J030-001,3,0,1,0.3333333333333333,1
sashts,sashts_seed11_sourceJ030-004_frac30,snapshot_center,3,3,J030-004,J030-001,3,0,1,0.3333333333333333,1
sashts,sashts_seed11_sourceJ030-004_frac30,graphsage_lodo,3,3,J030-004,J030-001,3,0,1,0.3333333333333333,1
sashts,sashts_seed11_sourceJ033-008_frac10,random,5,5,J033-008,J033-008,1,1,1,1.0,0
sashts,sashts_seed11_sourceJ033-008_frac10,snapshot_degree,5,5,J033-008,J033-001,5,0,1,0.2,1
sashts,sashts_seed11_sourceJ033-008_frac10,snapshot_weighted_degree,5,5,J033-008,J033-007,2,0,1,0.5,1
sashts,sashts_seed11_sourceJ033-008_frac10,snapshot_closeness,5,5,J033-008,J033-001,5,0,1,0.2,1
sashts,sashts_seed11_sourceJ033-008_frac10,snapshot_betweenness,5,5,J033-008,J033-001,5,0,1,0.2,1
sashts,sashts_seed11_sourceJ033-008_frac10,snapshot_center,5,5,J033-008,J033-001,5,0,1,0.2,1
sashts,sashts_seed11_sourceJ033-008_frac10,graphsage_lodo,5,5,J033-008,J033-007,3,0,1,0.3333333333333333,1
