dataset,method,tasks,hit_at_1,hit_at_5,mean_rank,median_rank,mrr,mean_error_hops
sashts,graphsage_lodo,162,0.3333333333333333,0.9259259259259259,2.6296296296296298,2.0,0.5560405643738977,0.6666666666666666
sashts,random,162,0.2777777777777778,0.9629629629629629,2.6481481481481484,2.0,0.5305629041740153,0.7592592592592593
sashts,snapshot_weighted_degree,162,0.2777777777777778,0.9444444444444444,2.7777777777777777,3.0,0.5171516754850088,0.7222222222222222
sashts,snapshot_closeness,162,0.2777777777777778,0.9444444444444444,2.7777777777777777,3.0,0.5140652557319224,0.7222222222222222
sashts,snapshot_degree,162,0.2777777777777778,0.9444444444444444,2.7777777777777777,3.0,0.5140652557319224,0.7222222222222222
sashts,snapshot_betweenness,162,0.2777777777777778,0.9444444444444444,2.8333333333333335,3.0,0.5094356261022928,0.7222222222222222
sashts,snapshot_center,162,0.2777777777777778,0.9444444444444444,2.8333333333333335,3.0,0.5094356261022928,0.7222222222222222
sociopatterns_hospital,snapshot_betweenness,180,0.07222222222222222,0.19444444444444445,17.988888888888887,15.5,0.16612715856732574,1.038888888888889
sociopatterns_hospital,graphsage_lodo,180,0.06111111111111111,0.18888888888888888,18.35,15.5,0.1563268735406148,1.0555555555555556
sociopatterns_hospital,snapshot_closeness,180,0.05555555555555555,0.15555555555555556,20.044444444444444,18.0,0.14194759562627554,1.0833333333333333
sociopatterns_hospital,snapshot_degree,180,0.05555555555555555,0.15555555555555556,20.133333333333333,18.0,0.14190177762652798,1.0833333333333333
sociopatterns_hospital,snapshot_center,180,0.05,0.17777777777777778,20.06111111111111,19.0,0.13826393285777225,1.1833333333333333
sociopatterns_hospital,random,180,0.027777777777777776,0.17777777777777778,18.655555555555555,16.0,0.13067413720539078,1.4555555555555555
sociopatterns_hospital,snapshot_weighted_degree,180,0.027777777777777776,0.16111111111111112,20.572222222222223,19.0,0.1171750540689045,1.2722222222222221
sociopatterns_primary_school,snapshot_betweenness,180,0.05,0.13333333333333333,37.894444444444446,29.0,0.11881953120437555,1.1111111111111112
sociopatterns_primary_school,snapshot_closeness,180,0.05555555555555555,0.11666666666666667,37.87222222222222,28.5,0.11115592710339149,1.0666666666666667
sociopatterns_primary_school,snapshot_degree,180,0.05555555555555555,0.11666666666666667,38.15555555555556,28.5,0.11106905463895671,1.0666666666666667
sociopatterns_primary_school,graphsage_lodo,180,0.011111111111111112,0.07222222222222222,36.205555555555556,27.5,0.07285831594080958,1.1888888888888889
sociopatterns_primary_school,snapshot_weighted_degree,180,0.011111111111111112,0.07222222222222222,41.08888888888889,29.5,0.06906117680315033,1.2444444444444445
sociopatterns_primary_school,random,180,0.011111111111111112,0.06111111111111111,65.79444444444445,63.0,0.047624894020528115,1.4722222222222223
sociopatterns_primary_school,snapshot_center,180,0.0,0.011111111111111112,51.394444444444446,42.0,0.034254227546779197,1.4777777777777779
