dataset,task_id,true_source,snapshot_size,target_fraction,simulation_steps,candidate_rows
sashts,sashts_seed11_sourceS049-005_frac10,S049-005,4,0.1,4,4
sashts,sashts_seed11_sourceS049-005_frac20,S049-005,4,0.2,4,4
sashts,sashts_seed11_sourceS049-005_frac30,S049-005,4,0.3,4,4
sashts,sashts_seed11_sourceS040-003_frac10,S040-003,4,0.1,4,4
sashts,sashts_seed11_sourceS040-003_frac20,S040-003,4,0.2,3,4
sashts,sashts_seed11_sourceS040-003_frac30,S040-003,4,0.3,3,4
sashts,sashts_seed11_sourceS016-001_frac10,S016-001,3,0.1,3,3
sashts,sashts_seed11_sourceS016-001_frac20,S016-001,3,0.2,3,3
sashts,sashts_seed11_sourceS016-001_frac30,S016-001,3,0.3,2,3
sashts,sashts_seed11_sourceS023-001_frac10,S023-001,3,0.1,3,3
sashts,sashts_seed11_sourceS023-001_frac20,S023-001,3,0.2,3,3
sashts,sashts_seed11_sourceS023-001_frac30,S023-001,3,0.3,3,3
sashts,sashts_seed11_sourceS021-002_frac10,S021-002,6,0.1,5,6
sashts,sashts_seed11_sourceS021-002_frac20,S021-002,6,0.2,4,6
sashts,sashts_seed11_sourceS021-002_frac30,S021-002,6,0.3,5,6
sashts,sashts_seed11_sourceS071-008_frac10,S071-008,6,0.1,6,6
sashts,sashts_seed11_sourceS071-008_frac20,S071-008,6,0.2,5,6
sashts,sashts_seed11_sourceS071-008_frac30,S071-008,6,0.3,5,6
sashts,sashts_seed11_sourceS016-002_frac10,S016-002,3,0.1,3,3
sashts,sashts_seed11_sourceS016-002_frac20,S016-002,3,0.2,3,3
sashts,sashts_seed11_sourceS016-002_frac30,S016-002,3,0.3,3,3
sashts,sashts_seed11_sourceJ030-004_frac10,J030-004,3,0.1,3,3
sashts,sashts_seed11_sourceJ030-004_frac20,J030-004,3,0.2,3,3
sashts,sashts_seed11_sourceJ030-004_frac30,J030-004,3,0.3,3,3
sashts,sashts_seed11_sourceJ073-002_frac10,J073-002,3,0.1,3,3
sashts,sashts_seed11_sourceJ073-002_frac20,J073-002,3,0.2,3,3
sashts,sashts_seed11_sourceJ073-002_frac30,J073-002,3,0.3,3,3
sashts,sashts_seed11_sourceS007-007_frac10,S007-007,8,0.1,4,8
sashts,sashts_seed11_sourceS007-007_frac20,S007-007,8,0.2,4,8
sashts,sashts_seed11_sourceS007-007_frac30,S007-007,8,0.3,4,8
sashts,sashts_seed11_sourceJ023-002_frac10,J023-002,6,0.1,5,6
sashts,sashts_seed11_sourceJ023-002_frac20,J023-002,6,0.2,5,6
sashts,sashts_seed11_sourceJ023-002_frac30,J023-002,6,0.3,5,6
sashts,sashts_seed11_sourceJ033-008_frac10,J033-008,5,0.1,3,5
sashts,sashts_seed11_sourceJ033-008_frac20,J033-008,5,0.2,3,5
sashts,sashts_seed11_sourceJ033-008_frac30,J033-008,5,0.3,3,5
sashts,sashts_seed11_sourceS079-004_frac10,S079-004,5,0.1,5,5
sashts,sashts_seed11_sourceS079-004_frac20,S079-004,5,0.2,5,5
sashts,sashts_seed11_sourceS079-004_frac30,S079-004,5,0.3,4,5
sashts,sashts_seed11_sourceS007-005_frac10,S007-005,8,0.1,4,8
sashts,sashts_seed11_sourceS007-005_frac20,S007-005,8,0.2,4,8
sashts,sashts_seed11_sourceS007-005_frac30,S007-005,8,0.3,4,8
sashts,sashts_seed11_sourceS050-003_frac10,S050-003,5,0.1,4,5
sashts,sashts_seed11_sourceS050-003_frac20,S050-003,5,0.2,4,5
sashts,sashts_seed11_sourceS050-003_frac30,S050-003,5,0.3,5,5
sashts,sashts_seed11_sourceJ010-002_frac10,J010-002,3,0.1,3,3
