model,seed,fold,best_epoch,best_val_ap,early_stopped,threshold,hidden_dim,dropout_1,dropout_2,lr,weight_decay,feature_names,train_auc,train_ap,train_accuracy,train_f1,train_precision,train_recall,train_brier,train_positives,train_n,validation_auc,validation_ap,validation_accuracy,validation_f1,validation_precision,validation_recall,validation_brier,validation_positives,validation_n,test_auc,test_ap,test_accuracy,test_f1,test_precision,test_recall,test_brier,test_positives,test_n,config_id
full_pytorch_graphsage,11,0,72,0.8472746476936421,True,0.05,8,0.2,0.1,0.005,0.0001,degree_centrality|betweenness_centrality|closeness_centrality|log_degree|log_weighted_degree_sec|sleep_room_enc|cared_by_enc|age_enc|sex_enc|site_enc,0.7481060606060606,0.8818276099981208,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.20947732083998558,80,113,0.6314516129032258,0.8472746476936421,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.23971326360076003,80,111,0.5992945326278659,0.752030750698734,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.2292358786962892,81,116,1
full_pytorch_graphsage,11,1,7,0.7822018270713361,True,0.05,8,0.2,0.1,0.005,0.0001,degree_centrality|betweenness_centrality|closeness_centrality|log_degree|log_weighted_degree_sec|sleep_room_enc|cared_by_enc|age_enc|sex_enc|site_enc,0.654673721340388,0.8114096749229018,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.2781554371115138,81,116,0.5848484848484848,0.7822018270713361,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.2821868053104475,80,113,0.4475806451612903,0.6904334524958915,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.2852065544339638,80,111,1
full_pytorch_graphsage,11,2,84,0.8226621363811658,True,0.06,8,0.2,0.1,0.005,0.0001,degree_centrality|betweenness_centrality|closeness_centrality|log_degree|log_weighted_degree_sec|sleep_room_enc|cared_by_enc|age_enc|sex_enc|site_enc,0.8286290322580645,0.9310052575271683,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.17875791587093742,80,111,0.6398589065255732,0.8226621363811658,0.7068965517241379,0.826530612244898,0.7043478260869566,1.0,0.2180353926937604,81,116,0.5541666666666667,0.7654686952392546,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.23113791238922354,80,113,1
full_pytorch_graphsage,23,0,1,0.8098539631077065,True,0.4099999999999999,8,0.2,0.1,0.005,0.0001,degree_centrality|betweenness_centrality|closeness_centrality|log_degree|log_weighted_degree_sec|sleep_room_enc|cared_by_enc|age_enc|sex_enc|site_enc,0.48863636363636365,0.6933084927252573,0.6814159292035398,0.8105263157894735,0.7,0.9625,0.2873417702001403,80,113,0.6310483870967742,0.8098539631077065,0.7477477477477478,0.851063829787234,0.7407407407407407,1.0,0.2874198740855759,80,111,0.6493827160493827,0.8195149844234175,0.6896551724137931,0.8144329896907216,0.6991150442477876,0.9753086419753086,0.2836924917179654,81,116,1
full_pytorch_graphsage,23,1,28,0.7826249181821978,True,0.32999999999999996,8,0.2,0.1,0.005,0.0001,degree_centrality|betweenness_centrality|closeness_centrality|log_degree|log_weighted_degree_sec|sleep_room_enc|cared_by_enc|age_enc|sex_enc|site_enc,0.7597883597883598,0.8769312159763268,0.7068965517241379,0.826530612244898,0.7043478260869566,1.0,0.21993230611261416,81,116,0.593939393939394,0.7826249181821978,0.7168141592920354,0.8315789473684211,0.7181818181818181,0.9875,0.2401688450322617,80,113,0.6669354838709678,0.851964802505411,0.7207207207207207,0.8359788359788359,0.7247706422018348,0.9875,0.23076844844460956,80,111,1
full_pytorch_graphsage,23,2,8,0.7967595354608835,True,0.05,8,0.2,0.1,0.005,0.0001,degree_centrality|betweenness_centrality|closeness_centrality|log_degree|log_weighted_degree_sec|sleep_room_enc|cared_by_enc|age_enc|sex_enc|site_enc,0.5939516129032258,0.8267416483090863,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.24892606394512273,80,111,0.5929453262786596,0.7967595354608835,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.24801492612333811,81,116,0.43049242424242423,0.6880999370569507,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.250138016753148,80,113,1
full_pytorch_graphsage,42,0,80,0.8153227657632603,True,0.05,8,0.2,0.1,0.005,0.0001,degree_centrality|betweenness_centrality|closeness_centrality|log_degree|log_weighted_degree_sec|sleep_room_enc|cared_by_enc|age_enc|sex_enc|site_enc,0.7765151515151515,0.8890381016872482,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.2043396880355417,80,113,0.655241935483871,0.8153227657632603,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.22364223180036438,80,111,0.56331569664903,0.757575717294906,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.23807541879878785,81,116,1
full_pytorch_graphsage,42,1,25,0.742427893305255,True,0.05,8,0.2,0.1,0.005,0.0001,degree_centrality|betweenness_centrality|closeness_centrality|log_degree|log_weighted_degree_sec|sleep_room_enc|cared_by_enc|age_enc|sex_enc|site_enc,0.707936507936508,0.8390110605777511,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.23668107912302785,81,116,0.5503787878787879,0.742427893305255,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.24130524015757032,80,113,0.6233870967741936,0.7910900697881184,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.24147582638390566,80,111,1
full_pytorch_graphsage,42,2,6,0.785022707907878,True,0.05,8,0.2,0.1,0.005,0.0001,degree_centrality|betweenness_centrality|closeness_centrality|log_degree|log_weighted_degree_sec|sleep_room_enc|cared_by_enc|age_enc|sex_enc|site_enc,0.7209677419354839,0.862496424077231,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.22390489968701927,80,111,0.6201058201058202,0.785022707907878,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.22741251822977776,81,116,0.6045454545454545,0.7999605761693539,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.22657621658994279,80,113,1
full_pytorch_graphsage,11,0,24,0.8351142519772822,True,0.05,8,0.35,0.2,0.01,0.0005,degree_centrality|betweenness_centrality|closeness_centrality|log_degree|log_weighted_degree_sec|sleep_room_enc|cared_by_enc|age_enc|sex_enc|site_enc,0.6962121212121212,0.8399729138202998,0.7079646017699115,0.8290155440414507,0.7079646017699115,1.0,0.24741473825411262,80,113,0.6125,0.8351142519772822,0.7207207207207207,0.837696335078534,0.7207207207207207,1.0,0.253955483533968,80,111,0.6772486772486772,0.8199940369580884,0.6982758620689655,0.8223350253807107,0.6982758620689655,1.0,0.24647143205985522,81,116,2
