budget_k_pct,strategy,mean_infected_per_hh,std_infected_per_hh,ci95_low_infected_per_hh,ci95_high_infected_per_hh,baseline_mean_infected,reduction_vs_baseline_pct
1,random,3.38,1.66,1.0,6.0,3.41,0.8
1,degree,3.36,1.68,1.0,6.0,3.41,1.4
1,betweenness,3.38,1.71,1.0,6.0,3.41,0.9
1,gnn,3.29,1.71,0.0,6.0,3.41,3.4
5,random,3.16,1.69,0.0,6.0,3.41,7.4
5,degree,3.19,1.65,0.0,6.0,3.41,6.6
5,betweenness,3.12,1.81,0.0,6.0,3.41,8.5
5,gnn,2.66,1.95,0.0,6.0,3.41,22.1
10,random,2.84,1.74,0.0,6.0,3.41,16.6
10,degree,2.92,1.67,0.0,6.0,3.41,14.5
10,betweenness,2.72,1.84,0.0,6.0,3.41,20.3
10,gnn,1.96,2.0,0.0,6.0,3.41,42.7
